treesusceptible;treeintermediate;treeresistant;distTOground;orientationSW
0;1;0;155,5;1
0;1;0;144,5;1
0;1;0;141,5;1
0;1;0;134,5;1
0;1;0;130,5;1
0;1;0;129,5;1
0;1;0;121,5;1
0;1;0;111,5;1
0;1;0;107,5;1
0;1;0;212,0;1
0;1;0;205,0;1
0;1;0;198,0;1
0;1;0;193,0;1
0;1;0;190,0;1
0;1;0;174,0;1
0;1;0;171,0;1
0;1;0;166,0;1
0;1;0;156,0;1
0;1;0;148,0;1
0;1;0;245,0;0
0;1;0;239,0;0
0;1;0;226,0;0
0;1;0;211,0;0
0;1;0;201,0;0
0;1;0;188,0;0
0;1;0;176,0;0
0;1;0;172,0;0
0;1;0;166,0;0
0;1;0;240,0;0
0;1;0;237,0;0
0;1;0;228,0;0
0;1;0;221,0;0
0;1;0;210,0;0
0;1;0;204,0;0
0;1;0;197,0;0
0;1;0;194,0;0
0;1;0;188,0;0
0;1;0;183,0;0
1;0;0;142,0;1
1;0;0;141,0;1
1;0;0;138,0;1
1;0;0;135,0;1
1;0;0;133,0;1
1;0;0;131,0;1
1;0;0;127,0;1
1;0;0;118,0;1
1;0;0;113,0;1
1;0;0;105,0;1
1;0;0;224,0;1
1;0;0;226,0;1
1;0;0;226,0;1
1;0;0;222,0;1
1;0;0;227,0;1
1;0;0;219,0;1
1;0;0;211,0;1
1;0;0;206,0;1
1;0;0;203,0;1
1;0;0;151,0;1
1;0;0;249,0;0
1;0;0;236,0;0
1;0;0;216,0;0
1;0;0;208,0;0
1;0;0;181,0;0
1;0;0;175,0;0
1;0;0;149,0;0
1;0;0;140,0;0
1;0;0;117,0;0
1;0;0;272,0;0
1;0;0;268,0;0
1;0;0;264,0;0
1;0;0;258,0;0
1;0;0;254,0;0
1;0;0;246,0;0
1;0;0;242,0;0
1;0;0;235,0;0
1;0;0;228,0;0
1;0;0;212,0;0
0;0;1;116,0;1
0;0;1;113,0;1
0;0;1;108,0;1
0;0;1;100,0;1
0;0;1;97,0;1
0;0;1;93,0;1
0;0;1;83,0;1
0;0;1;79,0;1
0;0;1;63,0;1
0;0;1;229,0;1
0;0;1;225,0;1
0;0;1;217,0;1
0;0;1;203,0;1
0;0;1;198,0;1
0;0;1;187,0;1
0;0;1;180,0;1
0;0;1;171,0;1
0;0;1;163,0;1
0;0;1;158,0;1
0;0;1;123,0;0
0;0;1;122,0;0
0;0;1;116,0;0
0;0;1;109,0;0
0;0;1;105,0;0
0;0;1;101,0;0
0;0;1;98,0;0
0;0;1;94,0;0
0;0;1;82,0;0
0;0;1;79,0;0
0;0;1;229,0;0
0;0;1;223,0;0
0;0;1;216,0;0
0;0;1;206,0;0
0;0;1;197,0;0
0;0;1;187,0;0
0;0;1;177,0;0
0;0;1;169,0;0
0;0;1;161,0;0
0;0;1;125,0;0
